month,brand,view_count,cart_count,purchase_count,remove_from_cart_count,revenue,total_user_count,purchase_user_count,total_session_count,purchase_session_count,view_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate,purchase_user_rate,revenue_per_purchase_user
11월,prestigio,13939,469,188,0,10099.55,6190,155,7587,181,3.36,40.09,1.35,2.5,65.16
11월,tecno,6937,172,86,0,9157.6,3269,70,4145,82,2.48,50.0,1.24,2.14,130.82
11월,zte,9617,232,112,0,8904.13,4907,88,5814,103,2.41,48.28,1.16,1.79,101.18
11월,blackberry,4673,26,21,0,8540.43,2021,10,2336,17,0.56,80.77,0.45,0.49,854.04
11월,bq,26925,337,96,0,7071.01,11194,84,13841,92,1.25,28.49,0.36,0.75,84.18
11월,doogee,21316,187,55,0,6756.88,9076,46,10913,51,0.88,29.41,0.26,0.51,146.89
11월,haier,12953,173,72,0,6304.82,7091,61,8093,66,1.34,41.62,0.56,0.86,103.36
11월,htc,6428,138,44,0,4529.36,3513,34,4160,42,2.15,31.88,0.68,0.97,133.22
11월,asus,3965,42,13,0,3362.6,2096,12,2436,12,1.06,30.95,0.33,0.57,280.22
11월,jinga,3350,70,27,0,1781.6,1899,26,2118,27,2.09,38.57,0.81,1.37,68.52
11월,fly,2196,52,29,0,1313.37,1124,26,1279,26,2.37,55.77,1.32,2.31,50.51
11월,nubia,2979,23,9,0,1311.03,1614,4,1868,4,0.77,39.13,0.3,0.25,327.76
11월,lenovo,396,9,2,0,1235.04,169,2,210,2,2.27,22.22,0.51,1.18,617.52
11월,gionee,3582,35,9,0,880.6,1952,9,2237,9,0.98,25.71,0.25,0.46,97.84
11월,texet,1661,19,6,0,554.71,941,5,1032,6,1.14,31.58,0.36,0.53,110.94
11월,irbis,3186,19,8,0,481.24,1957,7,2153,7,0.6,42.11,0.25,0.36,68.75
11월,philips,678,1,2,0,169.89,475,2,493,2,0.15,200.0,0.29,0.42,84.94
11월,leagoo,210,0,0,0,0.0,149,0,158,0,0.0,0.0,0.0,0.0,0.0
11월,leeco,1603,1,0,0,0.0,901,0,975,0,0.06,0.0,0.0,0.0,0.0
11월,micromax,496,10,0,0,0.0,353,0,371,0,2.02,0.0,0.0,0.0,0.0
11월,oukitel,519,0,0,0,0.0,380,0,406,0,0.0,0.0,0.0,0.0,0.0
11월,vertex,1341,2,0,0,0.0,855,0,920,0,0.15,0.0,0.0,0.0,0.0
11월,hiper,48,0,0,0,0.0,41,0,42,0,0.0,0.0,0.0,0.0,0.0
11월,ark,42,0,0,0,0.0,36,0,38,0,0.0,0.0,0.0,0.0,0.0
11월,motorola,15,0,0,0,0.0,9,0,9,0,0.0,0.0,0.0,0.0,0.0
11월,bravis,1,0,0,0,0.0,1,0,1,0,0.0,0.0,0.0,0.0,0.0
