month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,huawei,중가,12h 이내,30분 내 구매,3557,583499.36,3132,606.33,490.5
10월,huawei,중가,12h 이내,5분 내 구매,8744,1439479.14,6578,150.45,135.0
10월,huawei,중가,12h 이내,즉시 구매(60s),3260,534274.73,2012,37.64,38.0
10월,huawei,중가,36h 초과,1시간 초과,42,7163.99,38,168153.0,168153.0
10월,huawei,중가,즉시 구매,즉시 구매(60s),55,8594.35,32,-74.27,-35.5
10월,huawei,중가,12h 이내,1시간 초과,70,12474.84,61,6034.04,4857.75
10월,inoi,저가,12h 이내,5분 내 구매,102,5469.02,88,146.58,135.0
10월,inoi,저가,12h 이내,30분 내 구매,39,1951.89,36,553.0,427.5
10월,inoi,저가,12h 이내,즉시 구매(60s),53,2641.69,39,37.45,37.5
10월,inoi,저가,12h 이내,1시간 초과,1,61.1,1,13598.0,13598.0
10월,irbis,저가,12h 이내,즉시 구매(60s),1,65.89,1,30.0,30.0
10월,irbis,저가,12h 이내,5분 내 구매,3,192.21,3,131.67,120.0
10월,irbis,저가,12h 이내,30분 내 구매,1,57.5,1,453.0,453.0
10월,irbis,중가,12h 이내,즉시 구매(60s),2,189.31,2,33.5,33.5
10월,jinga,저가,12h 이내,즉시 구매(60s),19,1213.3,17,41.68,42.0
10월,jinga,저가,12h 이내,5분 내 구매,16,1003.4,16,167.06,141.0
10월,jinga,저가,12h 이내,30분 내 구매,8,517.41,8,564.5,490.5
10월,lg,고가,12h 이내,즉시 구매(60s),7,2414.3,6,31.0,33.0
10월,lg,고가,12h 이내,30분 내 구매,28,10012.2,27,539.93,464.0
10월,lg,고가,12h 이내,5분 내 구매,43,14923.37,34,170.79,167.5
10월,lg,중가,12h 이내,5분 내 구매,18,3642.26,17,182.67,187.0
10월,lg,중가,12h 이내,30분 내 구매,10,1984.5,9,542.0,458.0
10월,lg,중가,12h 이내,즉시 구매(60s),3,558.7,3,32.67,28.0
10월,lg,중가,36h 초과,1시간 초과,1,216.2,1,,
10월,meizu,고가,12h 이내,5분 내 구매,31,11643.52,28,163.23,169.0
10월,meizu,고가,12h 이내,즉시 구매(60s),18,6585.61,12,33.78,35.0
10월,meizu,고가,12h 이내,30분 내 구매,7,2628.01,7,733.0,553.0
10월,meizu,고가,12h 이내,1시간 내 구매,1,323.62,1,2286.0,2286.0
10월,meizu,저가,12h 이내,30분 내 구매,183,13917.42,166,588.27,519.25
10월,meizu,저가,12h 이내,5분 내 구매,381,29100.18,315,149.82,135.0
10월,meizu,저가,12h 이내,즉시 구매(60s),187,14386.82,110,38.18,37.25
10월,meizu,저가,12h 이내,1시간 초과,6,427.75,6,6262.5,5954.5
10월,meizu,저가,12h 이내,1시간 내 구매,11,838.79,10,2712.45,2656.0
10월,meizu,저가,36h 초과,1시간 초과,2,156.41,2,,
10월,meizu,중가,12h 이내,30분 내 구매,193,29629.65,175,597.61,505.0
10월,meizu,중가,12h 이내,5분 내 구매,458,70811.55,378,146.36,130.5
10월,meizu,중가,12h 이내,즉시 구매(60s),195,30016.44,143,37.11,37.0
10월,meizu,중가,즉시 구매,즉시 구매(60s),2,357.77,2,-29.0,-29.0
10월,meizu,중가,12h 이내,1시간 초과,2,281.58,2,5195.5,5195.5
10월,meizu,중가,36h 초과,1시간 초과,2,336.94,2,,
10월,meizu,중가,12h 이내,1시간 내 구매,7,882.51,7,2422.43,2476.0
10월,micromax,저가,12h 이내,5분 내 구매,1,84.85,1,192.0,192.0
10월,nokia,고가,12h 이내,5분 내 구매,22,9252.29,19,154.32,132.0
10월,nokia,고가,즉시 구매,즉시 구매(60s),2,777.3,1,-34.5,-34.5
10월,nokia,고가,12h 이내,1시간 내 구매,4,1953.23,3,2177.75,1974.0
10월,nokia,고가,12h 이내,30분 내 구매,12,4477.78,11,497.58,442.0
10월,nokia,고가,12h 이내,즉시 구매(60s),11,4864.07,8,37.45,41.0
10월,nokia,고가,12h 이내,1시간 초과,1,630.63,1,4818.0,4818.0
10월,nokia,저가,12h 이내,30분 내 구매,10,826.63,9,710.8,470.0
10월,nokia,저가,12h 이내,5분 내 구매,21,1863.74,17,138.24,132.5
