month,total_user_count,revisit_user_count,revisit_rate,day1_revisit_user_count,day1_revisit_rate,day7_revisit_user_count,day7_revisit_rate
10월,3022290,1279795,42.35,315853,10.45,163206,5.4
11월,3696117,1700324,46.0,469873,12.71,232763,6.3
