month,category_code,brand,purchase_count,revenue,brand_rank_in_category
10월,appliances.kitchen.kettle,dauscher,427,12983.61,2
10월,appliances.kitchen.kettle,tefal,250,11095.26,3
10월,appliances.kitchen.meat_grinder,bosch,202,35778.77,1
10월,appliances.kitchen.meat_grinder,moulinex,275,35088.54,2
10월,appliances.kitchen.meat_grinder,unknown,462,25214.99,3
10월,appliances.kitchen.microwave,samsung,746,90027.57,1
10월,appliances.kitchen.microwave,elenberg,983,50561.64,2
10월,appliances.kitchen.microwave,lg,487,44708.84,3
10월,appliances.kitchen.mixer,kitfort,210,26329.63,1
10월,appliances.kitchen.mixer,smeg,23,12779.24,2
10월,appliances.kitchen.mixer,elenberg,336,7201.34,3
10월,appliances.kitchen.oven,bosch,162,62126.72,1
10월,appliances.kitchen.oven,asel,608,34985.12,2
10월,appliances.kitchen.oven,beko,128,28536.25,3
10월,appliances.kitchen.refrigerators,indesit,2329,714135.98,1
10월,appliances.kitchen.refrigerators,lg,1052,631800.25,2
10월,appliances.kitchen.refrigerators,unknown,2347,561825.85,3
10월,appliances.kitchen.steam_cooker,tefal,43,4080.16,1
10월,appliances.kitchen.steam_cooker,braun,21,1966.01,2
10월,appliances.kitchen.steam_cooker,smeg,1,1857.18,3
10월,appliances.kitchen.toster,bosch,78,4498.59,1
10월,appliances.kitchen.toster,philips,91,3176.56,2
10월,appliances.kitchen.toster,smeg,12,2275.35,3
10월,appliances.kitchen.washer,samsung,5097,1929524.5,1
10월,appliances.kitchen.washer,lg,2903,1105199.49,2
10월,appliances.kitchen.washer,indesit,2660,525722.6,3
10월,appliances.personal.hair_cutter,philips,273,13030.38,1
10월,appliances.personal.hair_cutter,braun,138,8505.73,2
10월,appliances.personal.hair_cutter,elenberg,188,3644.87,3
10월,appliances.personal.massager,gezatone,31,1934.64,1
10월,appliances.personal.massager,unknown,33,1912.64,2
10월,appliances.personal.massager,vitek,38,1716.92,3
10월,appliances.personal.scales,xiaomi,236,8133.56,1
10월,appliances.personal.scales,elenberg,410,4233.13,2
10월,appliances.personal.scales,huawei,74,2292.8,3
10월,appliances.sewing_machine,janome,1196,290512.07,1
10월,appliances.sewing_machine,bernina,62,39623.3,2
10월,appliances.sewing_machine,chayka,373,35055.66,3
10월,auto.accessories.alarm,starline,1954,274563.95,1
10월,auto.accessories.alarm,pandora,179,35263.43,2
10월,auto.accessories.alarm,cenmax,119,8313.56,3
10월,auto.accessories.compressor,unknown,415,47388.87,1
10월,auto.accessories.compressor,denzel,53,17978.18,2
10월,auto.accessories.compressor,magnetta,27,7077.18,3
10월,auto.accessories.parktronic,parkmaster,41,2701.36,1
10월,auto.accessories.parktronic,pioneer,2,111.71,2
10월,auto.accessories.parktronic,erisson,2,72.08,3
10월,auto.accessories.player,unknown,1860,206278.95,1
10월,auto.accessories.player,pioneer,1316,152243.47,2
10월,auto.accessories.player,alpine,243,46102.77,3
10월,auto.accessories.radar,neoline,129,13989.66,1
10월,auto.accessories.radar,ibox,175,12044.51,2
10월,auto.accessories.radar,sho-me,72,5883.83,3
10월,auto.accessories.videoregister,sho-me,635,92604.8,1
10월,auto.accessories.videoregister,neoline,376,69946.71,2
10월,auto.accessories.videoregister,unknown,430,24521.7,3
10월,auto.accessories.winch,t-max,25,14204.66,1
10월,auto.accessories.winch,denzel,1,350.48,2
10월,computers.components.cooler,ecocool,74,7558.48,1
10월,computers.components.cooler,almacom,105,6186.89,2
10월,computers.components.cooler,midea,52,2869.97,3
10월,computers.components.cpu,intel,116,27284.69,1
10월,computers.components.cpu,amd,85,16225.03,2
10월,computers.components.hdd,kingston,442,25447.71,1
10월,computers.components.hdd,samsung,78,11403.03,2
10월,computers.components.hdd,unknown,119,6976.44,3
10월,computers.components.memory,kingston,154,8119.57,1
10월,computers.components.memory,unknown,81,5312.27,2
10월,computers.components.memory,hyperx,59,4927.55,3
10월,computers.components.motherboard,asus,100,17251.67,1
10월,computers.components.motherboard,gigabyte,71,7698.37,2
10월,computers.components.motherboard,asrock,64,7228.37,3
10월,computers.components.power_supply,aerocool,82,3137.44,1
10월,computers.components.power_supply,thermaltake,34,2576.97,2
